Ampara Airport,암파라 공항,ADP,VCCG,아시아태평양,Sri Lanka,스리랑카,Ampara
Kodiak Airport,코디악 공항,ADQ,PADQ,북미캐나다,United States,미국,Kodiak
Addison Airport,애디슨 공항,ADS,KADS,북미캐나다,United States,미국,Dallas
Ardabil Airport,아르다빌 공항,ADU,OITL,중동아프리카,Iran,이란,Ardabil
Ed Daein Airport,에드 데인 공항,ADV,,중동아프리카,Sudan,수단,Ed Daein
Andrews Field,앤드루스 공군기지,ADW,KADW,북미캐나다,United States,미국,Camp Springs
Gustavo Rojas Pinilla International Airport,구스타보 로하스 피닐라 국제공항,ADZ,SKSP,중남미,Colombia,콜롬비아,San Andres Island
Abemama Atoll Airport,아베마마 아톨 공항,AEA,NGTB,아시아태평양,Kiribati,키리바시,Abemama Atoll
Baise Bama Airport,바이스 바마 공항,AEB,ZGBS,아시아태평양,China,중국,Baise
Aek Godang Airport,애크고당공항,AEG,WIME,아시아태평양,Indonesia,인도네시아,Padang Sidempuan
Abeche Airport,아베셰 공항,AEH,FTTC,중동아프리카,Chad,차드,Abeche
Amgu Airport,암구 공항,AEM,,유럽,Russia,러시아,Amgu
Jorge Newbery Airpark,호르헤 뉴베리 에어파크,AEP,SABE,중남미,Argentina,아르헨티나,Buenos Aires
Sochi International Airport,소치 국제 공항,AER,URSS,유럽,Russia,러시아,Sochi
alesund Airport Vigra,올레순비그라 공항,AES,ENAL,유럽,Norway,노르웨이,alesund
Allakaket Airport,알라카켓 공항,AET,PFAL,북미캐나다,United States,미국,Allakaket
Abu Musa Airport,아부무사 공항,AEU,OIBA,중동아프리카,Iran,이란,Abu Musa Island
Alexandria International Airport,알렉산드리아 국제 공항,AEX,KAEX,북미캐나다,United States,미국,Alexandria
Akureyri Airport,아쿠레이리 공항,AEY,BIAR,유럽,Iceland,아이슬란드,Akureyri
San Rafael Airport,산 라파엘 공항,AFA,SAMR,중남미,Argentina,아르헨티나,San Rafael
Kondavattavan Tank Seaplane Base,콘다바타반 탱크 수상비행기 기지,AFK,,아시아태평양,Sri Lanka,스리랑카,Ampara
Alta Floresta Airport,알타 플로레스타 공항,AFL,SBAT,중남미,Brazil,브라질,Alta Floresta
Jaffrey AirportSilver Ranch,재프리 공항실버 랜치,AFN,KAFN,북미캐나다,United States,미국,Jaffrey
Zarafshan Airport,자라프샨 공항,AFS,UTSN,아시아태평양,Uzbekistan,우즈베키스탄,Zarafshan
Afutara Airport,아푸타라 공항,AFT,AGAF,아시아태평양,Solomon Islands,솔로몬 제도,Afutara
Fort Worth Alliance Airport,포트워스 얼라이언스 공항,AFW,KAFW,북미캐나다,United States,미국,Fort Worth
Sabzevar Airport,사브제바르 공항,AFZ,OIMS,중동아프리카,Iran,이란,Sabzevar
Agadir Al Massira Airport,아가디르 알 마시라 공항,AGA,GMAD,중동아프리카,Morocco,모로코,Agadir
Augsburg Airport,아우크스부르크 공항,AGB,EDMA,유럽,Germany,독일,Augsburg
Allegheny County Airport,앨러게니 카운티 공항,AGC,KAGC,북미캐나다,United States,미국,Pittsburgh
Agen La Garenne Airport,아겐 라 가렌느 공항,AGF,LFBA,유럽,France,프랑스,Agen
Angelholm Helsingborg Airport,엔겔홀름 헬싱보리 공항,AGH,ESTA,유럽,Sweden,스웨덴,Angelholm
Aguni Airport,아구니 공항,AGJ,RORA,아시아태평양,Japan,일본,Aguni
Wanigela Airport,와니겔라 공항,AGL,AYWG,아시아태평양,Papua New Guinea,파푸아뉴기니,Wanigela
Angoon Seaplane Base,앙군 수상비행기 기지,AGN,PAGN,북미캐나다,United States,미국,Angoon
Malaga Airport,말라가 공항,AGP,LEMG,유럽,Spain,스페인,Malaga
Agra Airport,아그라 공항,AGR,VIAG,아시아태평양,India,인도,Agra
Augusta Regional Airportat Bush Field,오거스타 공항앳 부시 필드,AGS,KAGS,북미캐나다,United States,미국,Augusta
GuaranI International Airport,과라니 국제 공항,AGT,SGES,중남미,Paraguay,파라과이,Ciudad del Este
Lic. JesUs Teran Peredo International Airport,헤수스 테란 페레도 국제공항,AGU,MMAS,중남미,Mexico,멕시코,Aguascalientes
Oswaldo Guevara Mujica Airport,오스왈도 게바라 무히카 공항,AGV,SVAC,중남미,Venezuela,베네수엘라,Acarigua
Agatti Aerodrome,아가티 비행장,AGX,VOAT,아시아태평양,India,인도,Agatti Island
Abha Regional Airport,아바 공항,AHB,OEAB,중동아프리카,Saudi Arabia,사우디아라비아,Abha
Ahe Airport,아헤 공항,AHE,NTHE,아시아태평양,French Polynesia,프랑스령 폴리네시아,Ahe
Hongyuan Airport,훙위안 공항,AHJ,ZUHY,아시아태평양,China,중국,Hongyuan
Athens Ben Epps Airport,아테네 벤 엡스 공항,AHN,KAHN,북미캐나다,United States,미국,Athens
Alghero Fertilia Airport,알게로 페르틸리아 공항,AHO,LIEA,유럽,Italy,이탈리아,Alghero
Cherif Al Idrissi Airport,체리프 알 이드리시 공항,AHU,GMTA,중동아프리카,Morocco,모로코,Al Hoceima
Alliance Municipal Airport,얼라이언스 공항,AIA,KAIA,북미캐나다,United States,미국,Alliance
Ailinglaplap Airok Airport,아이링라플랍 아이록 공항,AIC,,아시아태평양,Marshall Islands,마샬 군도,Airok
Ailuk Airport,아일룩 공항,AIM,,아시아태평양,Marshall Islands,마샬 군도,Ailuk Atoll
Wainwright Airport,웨인라이트 공항,AIN,PAWI,북미캐나다,United States,미국,Fort Wainwright
Adampur Airport,아담푸르 공항,AIP,,아시아태평양,India,인도,Adampur
Aripuana Airport,아리푸아낭 공항,AIR,SSOU,중남미,Brazil,브라질,Aripuana
Arorae Island Airport,아로라 아일랜드 공항,AIS,NGTR,아시아태평양,Kiribati,키리바시,Arorae Island
Aitutaki Airport,아이투타키 공항,AIT,NCAI,아시아태평양,Cook Islands,쿡 군도,Aitutaki
Enua Airport,에누아 공항,AIU,NCAT,아시아태평양,Cook Islands,쿡 군도,Atiu Island
Ajaccio Napoleon Bonaparte Airport,아작시오 나폴레옹 보나파르트 공항,AJA,LFKJ,유럽,France,프랑스,Ajaccio
Al Jawf Domestic Airport,알 자우프 국내선 공항,AJF,OESK,중동아프리카,Saudi Arabia,사우디아라비아,Sakakah
Agri Airport,아리 공항,AJI,LTCO,유럽,Turkey,터키,Agri
Arak Airport,아라크 공항,AJK,OIHR,중동아프리카,Iran,이란,Arak
Lengpui Airport,렝푸이 공항,AJL,VELP,아시아태평양,India,인도,Aizawl
Ouani Airport,우아니 공항,AJN,FMCV,중동아프리카,Comoros,코모로,Anjouan
Arvidsjaur Airport,아르비스야우르 공항,AJR,ESNX,유럽,Sweden,스웨덴,Arvidsjaur
Santa Maria Airport,산타 마리아 공항,AJU,SBAR,중남미,Brazil,브라질,Aracaju
Mano Dayak International Airport,마노 다약 국제 공항,AJY,DRZA,중동아프리카,Niger,니제르,Agadez
Ankang Wulipu Airport,안캉 울리푸 공항,AKA,ZLAK,아시아태평양,China,중국,Ankang
Atka Airport,앗카 공항,AKB,PAAK,북미캐나다,United States,미국,Atka
Akola Airport,아콜라 공항,AKD,VAAK,아시아태평양,India,인도,Akola
Kufra Airport,쿠프라 공항,AKF,HLKF,중동아프리카,Libya,리비아,Kufra
Akiak Airport,아키악 공항,AKI,PFAK,북미캐나다,United States,미국,Akiak
Asahikawa Airport,아사히카와 공항,AKJ,RJEC,아시아태평양,Japan,일본,Asahikawa
Akhiok Airport,아키오크 공항,AKK,PAKH,북미캐나다,United States,미국,Akhiok
Auckland Airport,오클랜드 공항,AKL,NZAA,아시아태평양,New Zealand,뉴질랜드,Auckland
King Salmon Airport,킹 새먼 공항,AKN,PAKN,북미캐나다,United States,미국,King Salmon
Anaktuvuk Pass Airport,아낙투북 패스 공항,AKP,PAKP,북미캐나다,United States,미국,Anaktuvuk Pass
Akure Airport,아쿠레 공항,AKR,DNAK,중동아프리카,Nigeria,나이지리아,Akure
Auki Gwaunaru'u Airport,아우키 과우나루우 공항,AKS,AGGA,아시아태평양,Solomon Islands,솔로몬 제도,Auki
Aksu Airport,악수 공항,AKU,ZWAK,아시아태평양,China,중국,Aksu
Akulivik Airport,아쿨리비크 공항,AKV,CYKO,북미캐나다,Canada,캐나다,Akulivik
Aktobe Airport,악토베 공항,AKX,UATT,아시아태평양,Kazakhstan,카자흐스탄,Aktobe
Sittwe Airport,시트웨 공항,AKY,VYSW,아시아태평양,Myanmar,미얀마,Sittwe
Almaty International Airport,알마티 국제 공항,ALA,UAAA,아시아태평양,Kazakhstan,카자흐스탄,Almaty
Albany International Airport,올버니 국제 공항,ALB,KALB,북미캐나다,United States,미국,Albany
Alicante Elche Airport,알리칸테 엘체 공항,ALC,LEAL,유럽,Spain,스페인,Alicante
Alpine Casparis Municipal Airport,알파인 카스파리 시립공항,ALE,,북미캐나다,United States,미국,Alpine
Alta Airport,알타 공항,ALF,ENAT,유럽,Norway,노르웨이,Alta
Houari Boumediene Airport,후아리 부메디엔 공항,ALG,DAAG,중동아프리카,Algeria,알제리,Algiers
Albany Airport,올버니 공항,ALH,YABA,대양주,Australia,오스트레일리아,Albany
Alice International Airport,앨리스 국제 공항,ALI,KALI,북미캐나다,United States,미국,Alice
Alamogordo White Sands Regional Airport,앨라모고도 화이트 샌즈 공항,ALM,KALM,북미캐나다,United States,미국,Alamogordo
Waterloo Regional Airport,워털루 공항,ALO,KALO,북미캐나다,United States,미국,Waterloo
